,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
0,INFY,EQ,2017-05-15,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3471579745.0,75335,3052819,83.67,5,2017,0.0,Slight or No Change
1,INFY,EQ,2017-05-16,951.55,953.1,960.15,946.95,956.0,955.0,952.92,3065084,2920775219.0,71808,1858063,60.62,5,2017,0.36256633913089864,Slight or No Change
2,INFY,EQ,2017-05-17,955.0,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1384109512.0,75429,792251,54.35,5,2017,-0.23036649214660532,Slight or No Change
3,INFY,EQ,2017-05-18,952.8,943.0,973.9,942.85,960.25,961.75,962.61,4028924,3878281748.0,120990,2309450,57.32,5,2017,0.9393366918555968,Slight Positive
4,INFY,EQ,2017-05-19,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2031155370.0,88897,1457747,68.48,5,2017,-0.3951130751234655,Slight or No Change
5,INFY,EQ,2017-05-22,957.95,958.4,966.9,956.55,960.0,961.45,962.29,2751526,2647754820.0,99616,2034031,73.92,5,2017,0.3653635367190322,Slight or No Change
6,INFY,EQ,2017-05-23,961.45,964.65,967.0,954.1,957.5,957.3,960.16,2019991,1939514665.0,80122,1436389,71.11,5,2017,-0.43163971085340425,Slight or No Change
7,INFY,EQ,2017-05-24,957.3,960.0,965.5,949.6,957.0,954.8,958.37,2818143,2700826858.0,56898,1913750,67.91,5,2017,-0.2611511542880973,Slight or No Change
8,INFY,EQ,2017-05-25,954.8,961.0,986.6,961.0,981.0,983.3,978.16,5219257,5105249719.0,76160,4108984,78.73,5,2017,2.9849183074989627,Positive
9,INFY,EQ,2017-05-26,983.3,987.0,1000.0,980.6,996.05,995.7,994.06,2494002,2479193882.0,63671,1477643,59.25,5,2017,1.261059696938882,Positive
10,INFY,EQ,2017-05-29,995.7,990.9,996.7,975.7,986.0,985.15,983.11,3154217,3100929032.0,83084,2272869,72.06,5,2017,-1.0595560911921376,Negative
11,INFY,EQ,2017-05-30,985.15,982.0,1000.0,978.65,993.0,996.2,995.45,1858455,1850003638.0,62012,1280033,68.88,5,2017,1.1216566005176842,Positive
12,INFY,EQ,2017-05-31,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3805051203.0,121323,3086038,79.5,5,2017,-1.9223047580807173,Negative
13,INFY,EQ,2017-06-01,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2670262585.0,81421,1822506,66.17,6,2017,-0.5782713269535833,Slight Negative
14,INFY,EQ,2017-06-02,971.4,973.4,975.45,964.2,966.0,969.45,968.76,1958983,1897792689.0,48927,1396644,71.29,6,2017,-0.2007411982705265,Slight or No Change
15,INFY,EQ,2017-06-05,969.45,970.0,972.0,957.05,959.0,958.75,961.71,2731349,2626761463.0,83794,1941199,71.07,6,2017,-1.1037186033317936,Negative
16,INFY,EQ,2017-06-06,958.75,965.0,987.5,964.4,980.0,979.35,980.08,3504343,3434525874.0,83178,2018029,57.59,6,2017,2.1486310299869693,Positive
17,INFY,EQ,2017-06-07,979.35,985.0,988.9,945.0,959.3,961.3,963.75,6227523,6001805446.0,139990,2519343,40.45,6,2017,-1.8430591718997413,Negative
18,INFY,EQ,2017-06-08,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501577.0,88147,1778850,57.43,6,2017,-0.5045251222303038,Slight Negative
19,INFY,EQ,2017-06-09,956.45,938.55,950.95,923.0,949.0,948.6,937.55,7378831,6918028230.0,161124,3054942,41.4,6,2017,-0.8207433739348624,Slight Negative
20,INFY,EQ,2017-06-12,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4097996731.0,89686,2215716,51.58,6,2017,1.6076323002319315,Positive
21,INFY,EQ,2017-06-13,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2365833764.0,69355,1449584,58.71,6,2017,-0.6276910307620565,Slight Negative
22,INFY,EQ,2017-06-14,957.8,960.0,961.9,951.2,958.5,958.6,957.02,3719055,3559194777.0,90312,2710765,72.89,6,2017,0.08352474420547651,Slight or No Change
23,INFY,EQ,2017-06-15,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2642752622.0,67490,1852460,67.02,6,2017,-0.6780721886083918,Slight Negative
24,INFY,EQ,2017-06-16,952.1,949.1,953.85,936.0,937.0,940.25,942.47,5474225,5159269025.0,109487,4241070,77.47,6,2017,-1.244617162062811,Negative
25,INFY,EQ,2017-06-19,940.25,939.95,940.25,928.0,930.8,929.85,931.98,3427930,3194759665.0,82075,2297829,67.03,6,2017,-1.1060888061685703,Negative
26,INFY,EQ,2017-06-20,929.85,935.0,946.9,934.05,944.25,943.55,943.01,2592198,2444471885.0,105790,1509148,58.22,6,2017,1.473355917621122,Positive
27,INFY,EQ,2017-06-21,943.55,945.0,949.0,936.05,948.55,943.35,941.04,1867932,1757791621.0,59945,1286468,68.87,6,2017,-0.021196544963164587,Slight or No Change
28,INFY,EQ,2017-06-22,943.35,947.7,968.7,935.1,939.0,940.15,953.78,4732621,4513895878.0,115123,2848768,60.19,6,2017,-0.33921662161446875,Slight or No Change
29,INFY,EQ,2017-06-23,940.15,945.0,949.15,938.0,943.05,943.25,943.77,3201509,3021488880.0,118944,2359021,73.68,6,2017,0.3297346168164683,Slight or No Change
30,INFY,EQ,2017-06-27,943.25,945.0,948.0,923.75,926.0,927.05,929.06,3452330,3207420227.0,113272,2392340,69.3,6,2017,-1.7174662072621305,Negative
31,INFY,EQ,2017-06-28,927.05,932.8,933.0,921.0,924.0,924.7,925.73,2952612,2733310089.0,98295,2094305,70.93,6,2017,-0.25349226039587114,Slight or No Change
32,INFY,EQ,2017-06-29,924.7,930.2,947.95,926.6,929.0,930.2,935.13,7957020,7440838110.0,103952,5660732,71.14,6,2017,0.5947874986482082,Slight Positive
33,INFY,EQ,2017-06-30,930.2,930.8,938.0,929.0,934.4,935.55,934.42,2108350,1970090052.0,64325,1526984,72.43,6,2017,0.5751451300795463,Slight Positive
