,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,Volatility,SMA_21,LMA_34,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
0,2017-05-15,INFY,EQ,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3471579745.0,75335,3052819,83.67,5,2017,0.0,Slight or No Change,,,,HODL,,,,
1,2017-05-16,INFY,EQ,951.55,953.1,960.15,946.95,956.0,955.0,952.92,3065084,2920775219.0,71808,1858063,60.62,5,2017,0.36256633913089853,Slight or No Change,,,,HODL,,,,
2,2017-05-17,INFY,EQ,955.0,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1384109512.0,75429,792251,54.35,5,2017,-0.2303664921466053,Slight or No Change,,,,HODL,,,,
3,2017-05-18,INFY,EQ,952.8,943.0,973.9,942.85,960.25,961.75,962.61,4028924,3878281748.0,120990,2309450,57.32,5,2017,0.9393366918555968,Slight Positive,,,,HODL,,,,
4,2017-05-19,INFY,EQ,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2031155370.0,88897,1457747,68.48,5,2017,-0.3951130751234655,Slight or No Change,,,,HODL,,,,
5,2017-05-22,INFY,EQ,957.95,958.4,966.9,956.55,960.0,961.45,962.29,2751526,2647754820.0,99616,2034031,73.92,5,2017,0.3653635367190322,Slight or No Change,,,,HODL,,,,
6,2017-05-23,INFY,EQ,961.45,964.65,967.0,954.1,957.5,957.3,960.16,2019991,1939514665.0,80122,1436389,71.11,5,2017,-0.43163971085340425,Slight or No Change,,,,HODL,,,,
7,2017-05-24,INFY,EQ,957.3,960.0,965.5,949.6,957.0,954.8,958.37,2818143,2700826858.0,56898,1913750,67.91,5,2017,-0.2611511542880973,Slight or No Change,0.013635224291835241,,,HODL,,,,
8,2017-05-25,INFY,EQ,954.8,961.0,986.6,961.0,981.0,983.3,978.16,5219257,5105249719.0,76160,4108984,78.73,5,2017,2.9849183074989627,Positive,0.032633323945479235,,,HODL,,,,
9,2017-05-26,INFY,EQ,983.3,987.0,1000.0,980.6,996.05,995.7,994.06,2494002,2479193882.0,63671,1477643,59.25,5,2017,1.261059696938882,Positive,0.03254970684423562,,,HODL,,,,
10,2017-05-29,INFY,EQ,995.7,990.9,996.7,975.7,986.0,985.15,983.11,3154217,3100929032.0,83084,2272869,72.06,5,2017,-1.0595560911921376,Negative,0.03630812284253606,,,HODL,,,,
11,2017-05-30,INFY,EQ,985.15,982.0,1000.0,978.65,993.0,996.2,995.45,1858455,1850003638.0,62012,1280033,68.88,5,2017,1.1216566005176842,Positive,0.03583199445720385,,,HODL,,,,
12,2017-05-31,INFY,EQ,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3805051203.0,121323,3086038,79.5,5,2017,-1.922304758080717,Negative,0.04376978750260421,,,HODL,,,,
13,2017-06-01,INFY,EQ,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2670262585.0,81421,1822506,66.17,6,2017,-0.5782713269535833,Slight Negative,0.044056637959605446,,,HODL,968.6714285714286,15.98131979586109,1000.6340681631508,936.7087889797064
14,2017-06-02,INFY,EQ,971.4,973.4,975.45,964.2,966.0,969.45,968.76,1958983,1897792689.0,48927,1396644,71.29,6,2017,-0.2007411982705265,Slight or No Change,0.04398360323907933,,,HODL,969.95,15.203263819628644,1000.3565276392574,939.5434723607427
15,2017-06-05,INFY,EQ,969.45,970.0,972.0,957.05,959.0,958.75,961.71,2731349,2626761463.0,83794,1941199,71.07,6,2017,-1.1037186033317936,Negative,0.03126622729685986,,,HODL,970.2178571428573,14.950541630822059,1000.1189404045014,940.3167738812132
16,2017-06-06,INFY,EQ,958.75,965.0,987.5,964.4,980.0,979.35,980.08,3504343,3434525874.0,83178,2018029,57.59,6,2017,2.1486310299869693,Positive,0.037295425302601486,,,HODL,972.1142857142859,14.238104732499508,1000.5904951792849,943.6380762492869
17,2017-06-07,INFY,EQ,979.35,985.0,988.9,945.0,959.3,961.3,963.75,6227523,6001805446.0,139990,2519343,40.45,6,2017,-1.8430591718997411,Negative,0.04005500782307567,,,HODL,972.0821428571429,14.26378694918943,1000.6097167555217,943.5545689587641
18,2017-06-08,INFY,EQ,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501577.0,88147,1778850,57.43,6,2017,-0.5045251222303038,Slight Negative,0.03625403026652732,,,HODL,971.9750000000001,14.383240113195802,1000.7414802263918,943.2085197736085
